"V1","V2"
735,156
727,151
724,145
726,136
735,129
745,134
718,158
707,159
701,150
709,144
814,50
821,58
814,67
798,68
788,61
792,52
802,48
818,101
826,109
820,118
805,121
795,113
802,103
780,142
784,132
799,130
808,138
802,147
788,149
865,104
865,115
858,121
847,117
841,107
847,98
859,97
831,142
822,135
828,125
841,126
842,137
875,96
883,96
887,104
880,109
872,104
895,120
900,127
893,136
880,134
876,123
884,117
902,112
898,104
904,96
915,96
920,104
914,111
957,104
951,112
938,111
932,104
938,96
950,97
932,119
939,126
932,133
920,134
913,127
920,119
994,105
989,112
976,112
969,105
975,98
988,98
977,126
970,133
958,133
951,126
957,119
970,119
1033,106
1027,113
1014,112
1007,106
1013,99
1026,99
1015,126
1009,133
996,133
989,126
995,119
1008,119
1072,106
1069,114
1060,119
1051,115
1045,106
1051,99
1064,99
1048,132
1042,139
1033,135
1028,126
1034,119
1045,122
1104,107
1102,116
1093,118
1087,114
1085,105
1088,99
1098,98
1093,131
1086,138
1077,132
1077,121
1114,98
1125,97
1131,104
1126,113
1117,115
1111,107
1163,96
1169,103
1162,109
1150,110
1143,103
1150,97
1131,128
1132,119
1143,116
1149,123
1142,129
1202,95
1208,101
1203,110
1195,115
1186,111
1182,102
1189,96
1174,135
1166,131
1162,122
1169,116
1179,118
1181,128
1238,96
1241,107
1234,113
1225,109
1221,101
1228,94
1210,125
1210,117
1218,116
1218,125
1288,109
1280,115
1271,108
1270,94
1278,87
1288,95
1248,114
1255,107
1263,115
1263,128
1255,135
1248,127
1348,111
1338,118
1327,110
1326,96
1336,88
1347,96
1298,116
1307,110
1318,117
1319,132
1309,138
1299,131
1410,113
1401,120
1389,113
1388,97
1398,90
1409,98
1359,119
1369,112
1380,120
1381,135
1371,142
1360,134
1474,114
1464,122
1453,114
1452,99
1461,92
1473,99
1422,121
1432,114
1443,121
1444,137
1434,144
1423,136
1536,113
1527,120
1515,114
1514,99
1524,91
1535,98
1485,122
1495,114
1506,121
1507,136
1498,144
1486,137
1607,83
1612,93
1606,101
1594,99
1586,89
1594,80
1577,117
1578,107
1590,107
1596,116
1588,122
1569,132
1559,139
1549,133
1547,119
1557,113
1567,120
1653,67
1657,71
1660,76
1658,81
1653,84
1645,82
1642,74
1646,68
1643,96
1638,104
1628,103
1623,94
1630,87
1639,88
309,156
787,20
798,23
1651,52
